Category,File Name,Format,Duration (s),Sample Rate,Bit Depth,Channels,Integrated,Max Momentary
Dialogue,y8a01097.wav,wav,4.82,48000,16,1,-18.70,-2.58
Dialogue,y8a01098.wav,wav,4.26,48000,16,1,-19.90,-2.87
Dialogue,y8a01099.wav,wav,4.28,48000,16,1,-19.13,-2.89
Dialogue,y8a01100.wav,wav,4.31,48000,16,1,-18.66,-3.68
Dialogue,y8a01101.wav,wav,3.85,48000,16,1,-18.59,-2.15
Dialogue,y8a01102.wav,wav,2.96,48000,16,1,-18.27,-2.37
Dialogue,y8a01103.wav,wav,3.51,48000,16,1,-17.34,-1.00
Dialogue,y8a01104.wav,wav,5.14,48000,16,1,-19.06,-2.49
Dialogue,y8a01105.wav,wav,4.11,48000,16,1,-18.64,-2.62
Dialogue,y8a01106.wav,wav,3.74,48000,16,1,-18.43,-2.10
Dialogue,y8a01107.wav,wav,3.01,48000,16,1,-17.28,-2.77
Dialogue,y8a01108.wav,wav,6.46,48000,16,1,-19.67,-1.73
Dialogue,y8a02000.wav,wav,8.63,48000,16,1,-16.76,-2.64
Dialogue,y8a02001.wav,wav,6.77,48000,16,1,-19.12,-2.54
Dialogue,y8a02002.wav,wav,6.86,48000,16,1,-17.91,-3.18
Dialogue,y8a02003.wav,wav,7.15,48000,16,1,-18.08,-1.50
Dialogue,y8a02004.wav,wav,4.78,48000,16,1,-18.02,-3.58
Dialogue,y8a02005.wav,wav,7.12,48000,16,1,-18.01,-3.28
Dialogue,y8a02006.wav,wav,6.20,48000,16,1,-18.47,-3.06
Dialogue,y8a02007.wav,wav,3.78,48000,16,1,-19.97,-2.02
Dialogue,y8a02008.wav,wav,2.75,48000,16,1,-18.08,-1.00
Dialogue,y8a02009.wav,wav,6.10,48000,16,1,-18.56,-2.56
Dialogue,y8a02010.wav,wav,3.64,48000,16,1,-18.66,-2.51
Dialogue,y8a02011.wav,wav,4.33,48000,16,1,-18.16,-3.00
Dialogue,y8a02012.wav,wav,4.10,48000,16,1,-18.65,-1.44
Dialogue,y8a02013.wav,wav,2.91,48000,16,1,-16.68,-4.13
Dialogue,y8a02014.wav,wav,3.93,48000,16,1,-17.17,-4.59
Dialogue,y8a02015.wav,wav,4.19,48000,16,1,-17.04,-2.01
Dialogue,y8a02016.wav,wav,6.71,48000,16,1,-17.39,-4.33
Dialogue,y8a02017.wav,wav,4.30,48000,16,1,-17.34,-2.95
Dialogue,y8a02018.wav,wav,3.15,48000,16,1,-17.82,-2.30
Dialogue,y8a02019.wav,wav,4.34,48000,16,1,-18.18,-3.11
Dialogue,y8a02020.wav,wav,5.25,48000,16,1,-17.26,-3.26
Dialogue,y8a02021.wav,wav,3.53,48000,16,1,-17.86,-3.34
Dialogue,y8a02022.wav,wav,5.00,48000,16,1,-17.48,-2.82
Dialogue,y8a02023.wav,wav,2.90,48000,16,1,-17.54,-3.74
Dialogue,y8a02024.wav,wav,4.04,48000,16,1,-17.88,-2.95
Dialogue,y8a02025.wav,wav,7.12,48000,16,1,-17.40,-3.52
Dialogue,y8a02026.wav,wav,2.96,48000,16,1,-17.57,-3.27
Dialogue,y8a02027.wav,wav,5.82,48000,16,1,-17.52,-3.13
Dialogue,y8a02028.wav,wav,5.80,48000,16,1,-17.53,-3.74
Dialogue,y8a02029.wav,wav,5.28,48000,16,1,-17.46,-1.62
Dialogue,y8a02030.wav,wav,6.39,48000,16,1,-17.96,-3.40
Dialogue,y8a02031.wav,wav,4.65,48000,16,1,-18.13,-3.44
Dialogue,y8a02032.wav,wav,8.59,48000,16,1,-17.43,-3.41
Dialogue,y8a02033.wav,wav,5.00,48000,16,1,-17.13,-3.91
