Category,File Name,Format,Duration (s),Sample Rate,Bit Depth,Channels,Integrated,Max Momentary
Sound Effect,se_00195.wav,wav,0.63,22050,16,1,-6.83,0.00
Sound Effect,se_00196.wav,wav,0.27,22050,16,1,-13.18,-0.30
Sound Effect,se_00197.wav,wav,0.55,22050,16,1,-18.49,-1.16
Sound Effect,se_00198.wav,wav,0.34,22050,16,1,-7.95,-0.11
Sound Effect,se_00199.wav,wav,0.39,22050,16,1,-11.73,-0.34
Sound Effect,se_00200.wav,wav,0.37,22050,16,1,-6.85,0.00
Sound Effect,se_00201.wav,wav,0.41,22050,16,1,-4.66,-0.01
Sound Effect,se_00202.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00203.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00204.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00205.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00206.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00207.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00208.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00209.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00210.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00211.wav,wav,0.46,22050,16,1,-15.99,-0.15
Sound Effect,se_00212.wav,wav,0.63,22050,16,1,-6.83,0.00
Sound Effect,se_00213.wav,wav,0.67,22050,16,1,-13.02,-1.16
Sound Effect,se_00214.wav,wav,0.54,22050,16,1,-5.53,0.00
Sound Effect,se_00215.wav,wav,0.63,22050,16,1,-6.83,0.00
Sound Effect,se_00216.wav,wav,0.27,22050,16,1,-13.18,-0.30
Sound Effect,se_00217.wav,wav,0.55,22050,16,1,-18.49,-1.16
Sound Effect,se_00218.wav,wav,0.34,22050,16,1,-7.95,-0.11
Sound Effect,se_00219.wav,wav,0.11,22050,16,1,-12.37,-0.07
Sound Effect,se_00220.wav,wav,0.45,22050,16,1,-14.14,-0.44
Sound Effect,se_00221.wav,wav,0.39,22050,16,1,-10.96,-0.02
Sound Effect,se_00222.wav,wav,0.23,22050,16,1,-11.94,-0.73
Sound Effect,se_00223.wav,wav,0.29,22050,16,1,-12.43,-0.28
Sound Effect,se_00224.wav,wav,0.43,22050,16,1,-12.98,-0.49
Sound Effect,se_00225.wav,wav,0.67,22050,16,1,-14.70,-4.64
Sound Effect,se_00226.wav,wav,0.63,22050,16,1,-14.68,-3.55
Sound Effect,se_00227.wav,wav,0.50,22050,16,1,-10.23,-0.12
Sound Effect,se_00228.wav,wav,0.40,22050,16,1,-7.10,-0.14
Sound Effect,se_00229.wav,wav,0.31,22050,16,1,-12.97,-0.12
Sound Effect,se_00230.wav,wav,0.46,22050,16,1,-15.99,-0.15
