Category,File Name,Format,Duration (s),Sample Rate,Bit Depth,Channels,Integrated,Max Momentary
Dialogue,al20303ge.wav,wav,3.86,48000,16,1,-12.80,-0.50
Dialogue,al20304ge.wav,wav,2.72,48000,16,1,-14.33,-0.50
Dialogue,al20309ge_1.wav,wav,0.72,48000,16,1,-11.88,-0.50
Dialogue,al20315ge.wav,wav,4.01,48000,16,1,-13.32,-0.50
Dialogue,al20501sr.wav,wav,2.58,48000,16,1,-13.77,-0.29
Dialogue,al20502ad.wav,wav,2.15,48000,16,1,-15.19,-0.50
Dialogue,al20503do.wav,wav,2.02,48000,16,1,-14.87,-0.42
Dialogue,al20504ia.wav,wav,4.08,48000,16,1,-13.69,-0.42
Dialogue,al20507ia.wav,wav,3.97,48000,16,1,-15.07,-0.43
Dialogue,al20508ad.wav,wav,2.21,48000,16,1,-15.91,-0.45
Dialogue,al20509Aia.wav,wav,6.60,48000,16,1,-14.00,-0.28
Dialogue,al20509Bia.wav,wav,4.94,48000,16,1,-14.63,-0.33
Dialogue,al20510Asr.wav,wav,1.99,48000,16,1,-15.64,-0.37
Dialogue,al20510Bsr.wav,wav,7.01,48000,16,1,-12.75,-0.19
Dialogue,al20511do.wav,wav,3.79,48000,16,1,-13.29,-0.35
Dialogue,al20512ia.wav,wav,2.60,48000,16,1,-11.69,-0.43
Dialogue,al20513ad.wav,wav,1.52,48000,16,1,-16.86,-0.43
Dialogue,al20701js.wav,wav,3.71,48000,16,1,-15.04,-0.28
Dialogue,al20702ja.wav,wav,2.60,48000,16,1,-17.11,-0.44
Dialogue,al20704ja.wav,wav,7.81,48000,16,1,-16.51,-0.29
Dialogue,al20705ja.wav,wav,1.65,48000,16,1,-20.33,-0.50
Dialogue,al20707Ajs.wav,wav,1.10,48000,16,1,-21.82,-1.80
Dialogue,al20707Bja.wav,wav,0.83,48000,16,1,-20.03,-1.50
Dialogue,al20707ja.wav,wav,0.95,48000,16,1,-18.68,-0.47
Dialogue,al20708ad.wav,wav,2.81,48000,16,1,-12.59,-0.39
Dialogue,al20709ja.wav,wav,3.76,48000,16,1,-14.72,-0.37
Dialogue,al20710ia.wav,wav,1.10,48000,16,1,-11.39,-0.37
Dialogue,al20711Aad.wav,wav,0.84,48000,16,1,-16.91,-0.49
Dialogue,al20711go.wav,wav,1.73,48000,16,1,-11.89,-0.42
Dialogue,al20712ja_1.wav,wav,2.10,48000,16,1,-13.27,-0.43
Dialogue,al20712ja_2.wav,wav,1.84,48000,16,1,-15.73,-0.43
Dialogue,al20713Asr.wav,wav,1.05,48000,16,1,-11.15,-0.48
Dialogue,al20713Bad.wav,wav,1.15,48000,16,1,-10.57,-0.43
Dialogue,al20713Csr.wav,wav,1.27,48000,16,1,-13.98,-0.43
Dialogue,al20713Dad.wav,wav,1.84,48000,16,1,-12.03,-0.37
Dialogue,al20713Eja.wav,wav,5.05,48000,16,1,-11.92,-0.47
Dialogue,al20803Aja.wav,wav,5.97,48000,16,1,-13.55,-0.42
Dialogue,al20901ge.wav,wav,4.26,48000,16,1,-10.58,-0.43
Dialogue,al20902ad.wav,wav,2.61,48000,16,1,-12.64,-0.31
Dialogue,al20903ge.wav,wav,2.32,48000,16,1,-10.67,-0.45
